288,955
107,815
131,12689
2570,3092
225,4373
34,6083
16962,10989
7477,339
107,2177
34,343
500,700
195,3047
43,315
151,1070
457,5578
57,1007
10,937
80,4288
713,6167
904,7692
147,8889
5132,16685
105,981
377,6503
615,4739
225,5105
277,1950
2751,23440
39,12279
3,3529
202,1859
12649,7412
46,5539
43,3
90,247
373,22494
220,9884
11533,4177
67,6240
459,2630
83,14415
53,1685
24019,2752
64,6162
239,273
153,1119
1736,1234
67,13355
43,8889
307,5851
17196,6617
386,9496
10709,6305
1677,4314
81,15082
197,660
188,2839
11763,4177
156,620
6496,979
274,1201
127,2005
95,1216
457,5578
12,1419
14117,1650
78,988
6730,2722
377,3921
225,4994
2325,12711
15124,9375
384,1759
141,1201
56,11476
157,7120
28,1894
80,757
49,20931
67,4856
57,3597
8851,30140
34,1698
80,1979
111,6960
12,2692
148,747
13,467
903,1794
2289,9296
440,1372
355,18687
157,569
1805,13785
6,5359
107,10328
201,5649
67,12
3433,12186
305,7358
12644,5298
5,16452
10,2719
3327,341
181,1293
21,4437
500,2766
11944,790
34,370
311,3951
13009,23891
20514,9021
26391,3998
225,1766
84,2902
80,540
202,4157
161,22537
141,556
21194,4793
10,3872
673,2695
26701,5307
95,15252
267,3821
95,3144
11,12050
157,11628
73,17415
1659,639
64,10157
202,3182
34,886
236,1192
97,792
15843,463
5616,4302
2334,26579
1356,3422
785,13239
4284,3687
6730,4179
53,1774
18398,10103
1006,2893
225,9826
151,1604
6498,230
84,552
18754,6557
106,15082
10,1826
105,683
10,11499
6209,1418
157,1489
16288,1789
196,247
107,2630
5529,4424
13,1216
13,2363
26701,9936
7110,639
18701,5833
1151,18289
12602,37481
824,3458
80,1159
193,2385
34,822
17614,1626
5,2871
525,6110
11,1201
331,177
465,4618
83,3848
9608,4386
141,569
18613,16108
563,3824
20124,639
151,25064
106,1425
9147,17328
345,3016
310,3653
225,8507
8864,2694
386,4562
13,5298
179,2039
67,3175
553,247
13,498
83,8259
10,12947
20514,2066
200,1527
34,11141
52,10988
43,3687
1,10404
6167,8510
34,6215
105,6963
621,8040
17483,3292
34,3549
195,6088
377,3033
43,1509
1517,22609
170,8964
112,1164
80,12430
20535,13670
136,1833
112,2056
107,1204
3333,20247
4134,1322
28,7285
1556,22348
67,1960
588,6974
95,24750
1,10853
377,1234
244,981
134,7664
274,564
84,10615
11834,4482
27,3976
182,1472
84,4537
199,8115
185,247
290,10840
80,396
78,8731
3805,13410
107,15719
181,512
147,247
5,3075
120,893
1285,11060
170,1201
186,12000
72,1894
202,1737
37,322
161,6641
1736,1097
201,3410
219,5918
225,497
11614,1489
28879,115
240,8892
219,221
182,366
180,5551
21115,2839
739,192
18137,6613
5,2412
170,1851
3413,7485
331,1759
6052,3292
6436,728
80,1781
232,15690
37,8244
10,7119
1,35
75,9826
34,3679
16707,393
67,3024
195,10749
1985,1489
255,7636
64,9654
124,6143
3985,1947
1633,6845
602,1201
274,410
307,7664
340,1731
26701,948
11534,1920
6697,3416
50,20404
50,4124
34,121
10,3881
351,1914
170,1489
266,11516
884,14002
13813,8033
1926,5968
112,2645
10,3882
25796,871
112,982
202,1737
219,157
210,26595
106,1029
7840,11077
106,341
11533,7199
2035,790
107,10328
157,815
441,5047
146,8001
107,2614
34,5856
602,3157
3327,1443
181,10335
22602,668
5,12186
311,11772
1151,7702
67,10904
5,14885
274,584
294,3753
2228,17479
189,6371
201,3876
4310,21112
398,1482
47,1201
2019,9520
422,9576
14871,799
168,8471
180,5039
293,6544
7864,1268
84,3764
276,18282
14317,4122
112,700
6,14759
382,5551
20531,11186
10,9155
89,1087
424,9124
711,3403
824,26519
274,2098
5694,1434
212,264
22631,815
141,4388
3311,14872
282,6258
11,391
80,484
11691,815
126,7767
274,2532
534,1939
95,393
237,3224
71,2288
824,26519
25835,1201
60,9351
193,6046
170,2633
5307,7625
15942,624
83,5102
185,8668
25,5785
8312,5498
13,760
10,9670
10,1260
588,6974
4265,1097
25,8233
3449,35797
201,467
10,484
83,2320
179,16581
14351,20414
10,1260
22929,790
4409,629
1425,8989
57,14823
5047,2763
10,2800
2849,12481
170,646
28048,7578
802,11628
28571,7406
27696,8040
10,1979
6,3791
7147,388
34,5856
146,1263
225,906
351,319
147,803
50,9003
10526,1730
6249,2108
39,4237
192,5852
459,565
42,1105
197,391
182,285
218,1105
11,19820
20828,360
12872,2318
2378,7413
84,1184
21092,122
7168,2116
75,1073
6730,12101
277,10318
4760,3308
12297,18797
170,569
5,19091
6446,1308
28,19091
6611,988
8770,3589
293,4736
80,4510
10,879
24333,26634
75,27892
351,4655
398,3400
11,391
84,3362
168,4383
212,793
212,2020
8,10375
22631,569
212,2590
3277,7730
153,431
331,5065
169,7541
1145,12138
134,1425
34,5537
112,3362
39,1268
10653,247
80,1159
351,9082
9528,7755
37,7319
95,414
293,11907
11,639
106,341
502,2301
75,1705
386,3581
10202,3395
193,6046
138,3879
189,1122
274,4094
80,6157
9076,1940
1878,49
7,3823
622,2687
141,50
311,8042
563,3105
11,23251
28,9179
4,2234
563,1159
20300,3302
882,4926
11,29314
129,1268
145,32509
34,3045
25862,1291
274,7265
112,402
80,879
8540,26310
1112,13522
2684,12315
3737,15287
14560,4093
3060,883
22,7093
52,8780
2880,14766
323,10713
6303,385
1966,8884
10,5417
89,735
13012,6816
25813,6182
83,6388
1188,6952
20077,11583
232,6857
34,5995
13096,6162
107,603
232,776
181,13250
5028,6143
201,7
232,1105
5047,2763
21092,815
20,10890
129,1719
11763,4725
39,12279
67,7985
5497,792
563,1260
67,1833
502,1299
9468,2806
83,13474
484,1070
157,569
8055,15634
7771,111
813,6398
6,247
1127,954
157,247
903,769
301,2627
219,641
57,1873
202,1699
34,8665
19119,4157
84,5088
181,639
377,1056
138,7418
3,2915
11,8640
67,4762
34,1804
1151,8113
107,8987
83,12099
381,7619
197,85
14566,11219
73,1584
2663,7677
39,3764
502,174
337,17
95,3417
9147,9035
4747,646
57,1268
27348,499
223,406
193,2098
5784,11060
21092,5845
27096,702
20535,1413
266,14042
161,12712
1,2986
18,10666
239,272
238,9045
95,467
7688,1201
182,1513
107,1763
336,3663
169,1372
6245,2098
25793,4941
21782,8059
25796,1206
386,294
1063,2759
10,6364
24237,2763
182,18
563,6120
54,8414
19962,18960
199,5854
500,1979
197,94358
6,1835
215,14670
75,1178
6730,817
5,9839
2112,4482
73,80
26569,2881
83,14415
6730,9435
424,7153
12889,8018
2810,22302
8285,22604
95,639
182,2316
34,961
726,2763
15177,3587
274,2116
43,3092
20514,14681
364,371
454,2168
11533,408
151,17479
5,11973
1145,9929
6730,1178
13481,11670
93,6234
12,2949
12,1538
21,4539
161,4335
80,5135
3,787
128,6307
4447,19509
78,1201
10,975
266,790
457,1894
7200,3834
10,3419
386,3205
199,1258
1077,4170
67,6321
43,5419
714,9346
80,7967
6015,7281
563,1979
10,4609
12436,26595
22257,2318
2617,3881
64,17026
3974,5098
500,2591
267,14136
2746,695
182,4372
3194,8701
748,4633
129,8632
5931,1201
13121,2052
17097,29387
23571,220
12872,49
195,24521
124,10390
223,1838
34,3343
219,4774
202,4842
36,7016
18149,5382
6,5505
3413,35
10,2108
4124,1700
502,2766
6085,9248
67,6182
903,2627
12602,414
67,4762
885,3395
11509,512
170,4388
146,6567
34,1804
11634,1946
118,8524
10,12947
212,1441
95,236
21829,5283
127,12470
2475,10520
